file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain-0.010_perturbed.cif,-2764774.49798584,-2759519.423162099,5255.07482374087,13.230358254296892,19.66019106767078,108.98847215573635
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain-0.015_perturbed.cif,-2762887.8021240234,-2757598.9562938632,5288.845830160193,13.608430867935384,20.346803096587234,109.0742648887358
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain+0.010_perturbed.cif,-2764861.9422912598,-2759729.2700740797,5132.672217180021,12.57686072148392,19.68367045846058,121.87684760878523
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain+0.015_perturbed.cif,-2763162.1856689453,-2758080.454707844,5081.73096110113,12.697399769267449,19.79154700877343,131.58733279111144
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain-0.010_perturbed.cif,-2764799.217224121,-2759558.4437574726,5240.773466648534,13.740808151732542,20.69442243383666,136.30095798635125
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain-0.015_perturbed.cif,-2762970.302581787,-2757699.9768670066,5270.325714780483,14.086392352456201,21.65066192462584,156.2858109238557
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain+0.010_perturbed.cif,-2760982.8758239746,-2756038.515882683,4944.359941291623,13.160607234912494,20.284234200562626,141.03220994617743
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain+0.015_perturbed.cif,-2759227.191925049,-2754355.5743100005,4871.617615048308,13.356635401988173,21.176193971013554,165.58797838841895
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain-0.010_perturbed.cif,-2761218.9445495605,-2756068.565551017,5150.3789985436015,13.789628697320028,21.104371247832002,111.92889932531381
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain-0.015_perturbed.cif,-2759423.7098693848,-2754215.477115533,5208.232753851917,14.037034599001405,21.966780559531944,137.94039536295213
